playerid,PlayerName,ADP,Team,ShortName,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,HBP
sa3017725,Ryne Moore,999.0,,,0.1595,0.2505,0.0,0.0,,1.0,4.56,1.1553,0.6564,0.6117,0.150889,0.5664,0.4518,0.0638
sa3020797,Brandon Birdsell,999.0,CHC,Cubs,0.1754,0.1754,0.0,0.0,,1.0,4.442,1.105,0.649,0.61372,0.197667,0.7077,0.3614,0.0458
sa946165,Christian Mejias,999.0,MIL,Brewers,0.1712,0.1952,0.0,0.0,,1.0,4.48,1.0663,0.6351,0.59704,0.184444,0.7348,0.4271,0.0557
sa3010570,Tanner Gordon,999.0,COL,Rockies,0.174,0.182,0.0,0.0,,1.0,4.448,1.1902,0.684,0.64597,0.203667,0.6616,0.3156,0.0357
sa3018173,Garrett Burhenn,999.0,DET,Tigers,0.1646,0.2266,0.0,0.0,,1.0,4.53,1.1627,0.6646,0.6234,0.166444,0.5732,0.4104,0.0438
sa3017460,Daniel Federman,999.0,BAL,Orioles,0.1547,0.2727,0.0,0.0,,1.0,4.488,1.1034,0.6388,0.5991,0.178111,0.659,0.4145,0.0464
sa3009858,Andrew Quezada,999.0,COL,Rockies,0.167,0.215,0.0,0.0,,1.0,4.541,1.2376,0.7001,0.65567,0.169667,0.5624,0.3902,0.043
sa3011420,JJ Goss,999.0,TBR,Rays,0.1754,0.1754,0.0,0.0,,1.0,4.539,1.1086,0.6488,0.60579,0.157889,0.6312,0.4856,0.0449
sa3020703,Spencer Schwellenbach,999.0,ATL,Braves,0.1754,0.1754,0.0,0.0,,1.0,4.552,1.1618,0.6723,0.63071,0.172333,0.6428,0.4294,0.0466
sa3011784,Ben Peoples,999.0,TBR,Rays,0.1754,0.1754,0.0,0.0,,1.0,4.566,1.0585,0.6468,0.60515,0.157333,0.735,0.5599,0.0429
sa3020680,Brendan Beck,999.0,NYY,Yankees,0.1754,0.1754,0.0,0.0,,1.0,4.502,1.0939,0.6415,0.60242,0.184111,0.7178,0.4303,0.045
