playerid,PlayerName,ADP,Team,ShortName,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,HBP
14681,Andrés Machado,999.0,,,0.0,37.0519,0.0519877,3.64903,,42.0767,181.215,42.3755,24.0448,22.1212,7.27417,37.2983,14.7604,2.05697
18615,Hobie Harris,999.0,,,0.0,12.1741,0.0,0.791421,,14.498,68.9482,17.5913,10.212,9.39502,2.28658,10.4614,8.54196,0.77072
19784,Justin Garza,999.0,,,0.188457,11.1047,0.0,0.567873,,13.9329,62.7126,14.493,8.9504,8.23437,2.47458,11.8746,7.08449,0.729749
sa3008662,Cole Winn,999.0,TEX,Rangers,1.32822,15.4011,0.0,0.966615,,22.641,104.725,23.7424,15.3553,14.1268,3.44168,19.5693,14.1749,1.14899
17264,Sam Coonrod,999.0,,,0.0,35.5906,0.0,3.65139,,32.5947,147.764,31.6434,20.1756,18.5616,3.805,30.1159,17.4812,4.11501
16981,Tyler Beede,999.0,,,0.478193,14.5604,0.0,0.895244,,16.7152,77.2398,17.8821,10.402,9.56984,2.06547,13.0397,8.38888,2.49474
22210,Jeremiah Estrada,999.0,SDP,Padres,0.0,29.7049,0.0412271,1.46654,,30.3341,133.962,26.8622,16.3534,15.0451,5.26136,35.2177,17.9831,1.14814
20132,Adam Oller,999.0,CLE,Guardians,1.39587,15.0279,0.0,0.635309,,23.3726,104.425,25.0713,15.8769,14.6067,4.18785,18.9311,10.3999,1.17294
19487,Devin Smeltzer,999.0,MIA,Marlins,2.64899,4.62025,0.0,0.0,,19.3517,87.2992,21.8567,11.8326,10.886,4.23381,12.9191,7.50333,1.81916
22288,Mason Englert,999.0,DET,Tigers,0.224293,22.4844,0.0,1.67386,,30.225,132.203,33.6198,18.0367,16.5938,5.19394,24.7113,9.45861,1.47254
16814,Tim Hill,747.3499755859375,CHW,White Sox,0.0,49.7199,0.436148,10.9057,,46.8838,206.443,51.4131,27.6504,25.4384,5.89301,30.1134,15.3257,3.74159
19545,Stephen Nogosek,999.0,,,0.0,9.76948,0.0,0.0,,17.0424,76.662,16.314,9.60993,8.84114,2.9304,15.7493,9.96646,0.958551
22224,Jonathan Heasley,999.0,BAL,Orioles,1.2651,20.4557,0.0,1.11196,,29.5155,129.096,31.0495,18.1532,16.7009,5.41626,22.5923,10.7922,1.65965
11121,Casey Lawrence,999.0,,,0.0,11.7167,0.0,2.50542,,18.6608,83.178,22.3023,13.2581,12.1975,3.95917,13.5601,5.74453,1.01485
22815,Luis Patiño,748.8400268554688,SDP,Padres,2.70789,29.3024,0.0,1.60023,,45.6724,204.275,46.1929,27.8781,25.6478,7.59354,36.7453,23.9452,1.68742
13424,Drew VerHagen,999.0,,,0.149366,47.9511,0.0,11.3464,,51.2098,223.154,48.6954,29.6627,27.2897,7.81065,47.7795,21.9538,3.99637
26128,Amos Willingham,999.0,WSN,Nationals,0.0,31.5018,0.0,1.43225,,36.1378,158.176,39.407,22.6665,20.8531,6.65783,27.8359,12.3035,1.6655
13420,Matt Koch,999.0,COL,Rockies,0.369275,24.7349,0.0,3.58895,,25.5847,112.95,28.9754,17.8836,16.4529,5.27271,19.271,8.5509,1.22834
19541,Jimmy Lambert,999.0,CHW,White Sox,0.647403,45.3847,1.61655,7.5249,,49.8753,221.333,49.6767,29.4486,27.0927,8.95671,50.5263,24.9079,2.11053
21549,Jackson Kowar,999.0,SEA,Mariners,0.340315,36.1751,0.0,4.96903,,44.4713,201.521,46.8248,27.6141,25.405,6.114,44.2005,23.475,2.25463
23307,Collin Snider,999.0,SEA,Mariners,0.972392,23.5303,0.278863,2.80302,,25.1104,114.962,27.4099,15.8557,14.5872,3.28703,17.2794,13.5542,1.17764
15036,Chase De Jong,999.0,,,0.804697,9.54097,0.000748622,0.256607,,17.0296,77.9225,17.4119,10.7532,9.89296,3.33035,13.2789,9.59765,1.52721
25645,Declan Cronin,999.0,MIA,Marlins,0.0,26.4653,0.0,3.08314,,29.0981,129.992,30.7045,17.1463,15.7746,3.93264,20.2951,11.8294,3.07399
8110,Bryan Shaw,999.0,,,0.285547,49.6242,0.937024,3.93445,,52.8251,236.113,50.6058,30.3887,27.9576,6.65549,46.4341,28.4305,3.88438
14975,Chad Kuhl,999.0,CHW,White Sox,1.89616,22.4729,0.171468,0.666055,,33.4876,151.828,35.3958,23.4306,21.5562,6.22488,29.3748,17.1671,2.15083
21513,Thaddeus Ward,749.969970703125,WSN,Nationals,0.229927,38.9388,0.0,2.28274,,45.3915,204.537,43.931,28.843,26.5356,7.02036,40.2269,26.2472,2.72323
20276,Deivi García,742.1599731445312,CHW,White Sox,0.840012,39.532,0.930051,6.19887,,51.0985,233.096,52.3976,33.0492,30.4053,9.23943,48.1396,28.9883,3.52413
