playerid,PlayerName,minpos,ADP,Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS
18042,Dylan Moore,2B/OF,702.77001953125,SEA,Mariners,75.0696,207.995,239.786,43.1505,24.0276,10.2209,1.23657,7.66542,27.4225,25.2372,24.4152,0.386939,73.6357,5.38338,1.20611,0.786876,12.3557,3.93845
19455,Andruw Monasterio,2B/3B,571.0999755859375,MIL,Brewers,94.7551,312.269,355.402,77.1825,55.2631,15.8447,1.06015,5.01449,39.9939,32.6611,35.8821,0.0,80.139,3.30333,2.60942,1.33796,9.80329,2.54937
15674,Reese McGuire,C,726.0,BOS,Red Sox,73.8541,226.973,247.839,57.2132,39.9514,13.3518,1.01957,2.89034,22.0342,21.042,13.961,0.0,57.2941,2.39156,1.88017,2.63323,1.63511,0.933551
25961,Kerry Carpenter,DH/OF,224.5800018310547,DET,Tigers,132.598,491.973,543.161,119.782,69.8214,23.0696,2.44583,24.4448,67.2956,75.3603,38.955,2.26112,134.075,8.33503,3.51807,0.379835,5.71255,2.09616
5343,Brandon Crawford,SS,750.3900146484375,,,81.879,271.158,305.287,63.7964,41.7403,12.4492,1.02251,8.58431,33.4184,35.9164,26.7854,1.14366,70.719,3.80918,2.79443,0.740026,2.57929,0.721776
19844,Abraham Toro,2B/3B,666.030029296875,OAK,Athletics,90.0048,273.599,304.719,64.2217,41.0742,15.3433,0.730019,7.0742,30.6322,32.9071,24.4077,0.0938268,60.7969,3.76994,2.13727,0.805577,3.19945,1.13689
25660,Will Brennan,OF,583.969970703125,CLE,Guardians,87.5373,304.359,328.424,84.2294,60.7903,18.2145,0.475835,4.74867,33.4627,35.2985,18.3886,1.23174,44.7584,2.94249,1.77943,0.954062,9.18968,2.62232
16530,Mauricio Dubón,2B/OF,487.1000061035156,HOU,Astros,87.8463,305.314,328.886,79.9743,57.0287,14.768,1.24184,6.93584,40.7324,33.4148,16.3815,0.23262,48.1041,2.8351,2.92193,1.43308,5.02674,1.9361
22563,Gabriel Arias,1B/SS,533.6500244140625,CLE,Guardians,80.4635,250.083,277.779,57.1244,35.9525,12.2344,0.801402,8.13608,29.8315,26.5902,21.8237,0.0,80.6725,2.53622,1.24286,2.0938,3.44672,1.80805
14274,Mitch Haniger,OF,413.8399963378906,SEA,Mariners,111.728,411.23,455.319,96.0738,57.6567,18.4902,1.11343,18.8134,51.5016,57.0892,34.9015,0.63575,119.107,5.37082,3.30343,0.512998,1.67595,0.643319
17022,Edmundo Sosa,3B/SS,738.5800170898438,PHI,Phillies,72.4999,223.613,242.91,55.5168,36.6051,11.1083,1.75833,6.04501,28.6715,26.1735,9.68208,0.103525,58.0781,7.14361,1.22984,1.24075,4.31985,1.43746
22266,Xavier Edwards,2B,504.67999267578125,MIA,Marlins,68.3053,214.61,241.661,58.601,45.9641,9.76372,1.02729,1.8459,27.0715,19.6312,20.6585,0.546198,33.6805,1.89089,1.55012,2.95102,9.29482,2.11955
27555,Garrett Mitchell,OF,373.7699890136719,MIL,Brewers,88.7167,309.229,347.555,74.9182,51.3121,13.309,2.19222,8.10499,39.7632,34.9855,30.7558,0.0,104.943,2.8742,2.55886,2.13668,11.6255,2.88118
