"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","%D","ADP","% Rostered"
"*021hl*","Travis Adair","TEX","2B,INF","1002","FA","34","","0","0%","-","0%"
"*03mgf*","Jose Adames","LAD","SP","1004","FA","29","","0","0%","-","0%"
"*032ud*","Yunelky Adames","PIT","1B,INF","1005","FA","31","","0","0%","-","1%"
"*02n1m*","Brian Adams","SD","OF","1006","FA","31","","0","0%","-","0%"
"*03di9*","Caleb Adams","LAA","OF","1007","FA","29","","0","0%","-","0%"
"*02hrh*","Cody Adams","MIL","SP","1008","FA","35","","0","0%","-","0%"
"*01vj9*","Jason Adams","KC","RP","1010","FA","36","","0","0%","-","1%"
"*041y6*","Jesse Adams","CIN","RP","1011","FA","28","","0","0%","-","0%"
"*04etc*","Johnny Adams","SEA","SS,INF","1012","FA","27","","0","0%","-","0%"
"*04pkp*","Jordyn Adams","LAA","OF","1013","FA","22","","0","0%","-","27%"
"*0374a*","Mike Adams","BOS","SP,RP","1015","FA","31","","0","0%","-","0%"
"*01sk2*","Ryan Adams","LAD","2B,3B,INF","1016","FA","34","","0","0%","-","0%"
"*05ybe*","Travis Adams","MIN","SP","1017","FA","22","","0","0%","-","0%"
"*02c33*","Trever Adams","TEX","OF","1018","FA","33","","0","0%","-","0%"
"*02hnt*","Zak Adams","TOR","SP,RP","1019","FA","29","","0","0%","-","0%"
"*038tx*","Corey Adamson","SD","OF","1020","FA","30","","0","0%","-","0%"
"*02hqx*","Daniel Adamson","HOU","OF","1021","FA","34","","0","0%","-","0%"
"*041re*","Brett Adcock","HOU","SP,RP","1022","FA","26","","0","0%","-","1%"
"*0516e*","Ty Adcock","SEA","SP,RP","1024","FA","25","","0","0%","-","1%"
"*029uw*","Nick Additon","STL","SP","1025","FA","34","","0","0%","-","1%"
"*03ytt*","Aramis Ademan","CHC","SS,INF","1026","FA","23","","0","0%","-","4%"
"*02n8s*","Hunter Adkins","MIL","SP,RP","1027","FA","31","","0","0%","-","0%"
"*01ut5*","James Adkins","LAD","RP","1028","FA","36","","0","0%","-","0%"
"*03218*","Micker Adolfo","CHW","OF","1030","FA","25","","0","1%","1154.2","10%"
"*04pwa*","Ross Adolph","HOU","OF","1031","FA","25","","0","0%","-","1%"
"*04ywo*","Joan Adon","WSH","SP","1032","FA","23","","0","8%","856.92","14%"
"*04ahv*","Melvin Adon","SF","SP","1033","FA","27","","0","0%","-","3%"
"*046yb*","Ranfy Adon","NYM","OF","1034","FA","24","","0","0%","-","0%"
"*04esg*","Josh Advocate","TEX","SP,RP","1035","FA","28","","0","0%","-","0%"
"*051b0*","Joe Aeilts","COL","OF","1036","FA","24","","0","0%","-","0%"
