IDFANGRAPHS,ID,Player,Position,Status,Age,ADP,exit_velo_batting,brl_batting,xAVG_batting,xSLG_batting,xwOBA_batting,xOBP_batting,xISO_batting,xwoba_percentile_batting,xba_percentile_batting,xslg_percentile_batting,xiso_percentile_batting,xobp_percentile_batting,brl_percentile_batting,brl_percent_percentile_batting,exit_velocity_percentile_batting,hard_hit_percent_percentile_batting,k_percent_percentile_batting,bb_percent_percentile_batting,whiff_percent_percentile_batting,sprint_speed_percentile_batting,exit_velo_pitching,brl_pitching,xAVG_pitching,xSLG_pitching,xwOBA_pitching,xERA_pitching,xwoba_percentile_pitching,xba_percentile_pitching,xslg_percentile_pitching,xiso_percentile_pitching,xobp_percentile_pitching,brl_percent_percentile_pitching,exit_velocity_percentile_pitching,hard_hit_percent_percentile_pitching,k_percent_percentile_pitching,bb_percent_percentile_pitching,whiff_percent_percentile_pitching,xera_percentile_pitching,fb_velocity_percentile_pitching,fb_spin_percentile_pitching,curve_spin_percentile_pitching
13074,*01c5l*,Yu Darvish,SP,La Maqui,35,88.04,,,,,,,,,,,,,,,,,,,,1.0,,,0.208,0.375,0.282,3.35,82.0,84.0,62.0,43.0,91.0,33.0,64.0,79.0,84.0,77.0,61.0,82.0,13.0,99.0,82.0
19326,*03e5m*,Bryan Reynolds,OF,Canha Ge,26,88.29,89.4,7.1,0.293,0.522,0.385,0.383,0.229,91.0,93.0,87.0,80.0,94.0,81.0,68.0,51.0,48.0,70.0,83.0,56.0,88.0,89.4,7.1,,,,,,,,,,,,,,,,,,,
13152,*02yd1*,Jorge Polanco,"2B,SS",sfernand,28,89.77,89.4,7.5,0.267,0.487,0.347,0.323,0.22,71.0,71.0,79.0,77.0,47.0,82.0,65.0,51.0,30.0,70.0,25.0,81.0,73.0,89.4,7.5,,,,,,,,,,,,,,,,,,,
14274,*02mwj*,Mitch Haniger,OF,Hit,31,90.29,89.3,8.4,0.262,0.498,0.354,0.329,0.236,75.0,65.0,82.0,83.0,55.0,94.0,82.0,48.0,73.0,28.0,35.0,17.0,55.0,89.3,8.4,,,,,,,,,,,,,,,,,,,
6184,*02334*,J.D. Martinez,OF,CALIXTO,34,91.45,92.1,8.4,0.288,0.534,0.374,0.352,0.246,87.0,91.0,90.0,87.0,76.0,88.0,81.0,90.0,90.0,33.0,47.0,22.0,31.0,92.1,8.4,,,,,,,,,,,,,,,,,,,
13613,*0326s*,Ketel Marte,"2B,OF",CALIXTO,28,91.63,91.1,6.7,0.307,0.495,0.372,0.37,0.188,87.0,99.0,81.0,59.0,90.0,40.0,55.0,82.0,86.0,80.0,41.0,90.0,44.0,91.1,6.7,,,,,,,,,,,,,,,,,,,
21523,*04nx3*,Jonathan India,2B,lasmimis,25,92.32,87.6,6.0,0.259,0.442,0.356,0.368,0.183,77.0,58.0,58.0,55.0,89.0,70.0,61.0,21.0,36.0,44.0,81.0,43.0,86.0,87.6,6.0,,,,,,,,,,,,,,,,,,,
21483,*04mlt*,Shane McClanahan,SP,sfernand,24,92.64,,,,,,,,,,,,,,,,,,,,,,,0.262,0.435,0.327,4.6,31.0,21.0,28.0,37.0,43.0,10.0,2.0,6.0,75.0,67.0,85.0,31.0,89.0,53.0,76.0
4949,*01cdf*,Giancarlo Stanton,OF,99 prob,32,92.65,95.1,9.7,0.259,0.494,0.36,0.344,0.235,80.0,58.0,81.0,82.0,68.0,91.0,91.0,99.0,100.0,16.0,76.0,9.0,13.0,95.1,9.7,,,,,,,,,,,,,,,,,,,
13590,*02mwg*,Jesse Winker,OF,METS,28,95.09,90.6,8.0,0.295,0.524,0.39,0.385,0.229,92.0,95.0,88.0,80.0,96.0,72.0,74.0,74.0,81.0,85.0,76.0,79.0,27.0,90.6,8.0,,,,,,,,,,,,,,,,,,,
15429,*01ubo*,Kris Bryant,"3B,OF",METS,30,95.38,88.2,6.7,0.26,0.449,0.346,0.349,0.189,68.0,62.0,62.0,61.0,74.0,72.0,67.0,29.0,42.0,39.0,71.0,27.0,72.0,88.2,6.7,,,,,,,,,,,,,,,,,,,
15998,*03120*,Cody Bellinger,OF,Pinstrip,26,97.13,89.3,4.6,0.208,0.357,0.28,0.28,0.149,5.0,3.0,14.0,34.0,3.0,18.0,37.0,48.0,20.0,17.0,50.0,17.0,75.0,89.3,4.6,,,,,,,,,,,,,,,,,,,
16137,*02c2r*,Carlos Rodon,SP,lasmimis,29,97.32,,,,,,,,,,,,,,,,,,,,,,,0.189,0.314,0.253,2.68,95.0,93.0,91.0,79.0,95.0,67.0,39.0,68.0,96.0,73.0,90.0,95.0,80.0,62.0,22.0
20454,*045qo*,Jazz Chisholm Jr.,"2B,SS",METS,23,98.15,90.2,5.7,0.238,0.409,0.307,0.295,0.171,25.0,26.0,40.0,47.0,11.0,48.0,56.0,71.0,56.0,10.0,19.0,17.0,94.0,90.2,5.7,,,,,,,,,,,,,,,,,,,
11477,*025dn*,Christian Yelich,OF,Hit,30,98.41,91.0,4.6,0.254,0.392,0.337,0.368,0.138,62.0,52.0,30.0,27.0,89.0,35.0,42.0,80.0,87.0,32.0,98.0,45.0,81.0,91.0,4.6,,,,,,,,,,,,,,,,,,,
17130,*03aqv*,Raisel Iglesias,RP,Canha Ge,32,98.47,,,,,,,,,,,,,,,,,,,,,,,0.19,0.331,0.243,2.47,97.0,92.0,86.0,67.0,99.0,30.0,92.0,85.0,98.0,96.0,99.0,97.0,89.0,76.0,
13301,*02mzg*,Max Muncy,"1B,2B",SLG,31,99.6,91.2,10.3,0.271,0.581,0.406,0.386,0.31,96.0,77.0,96.0,97.0,97.0,95.0,92.0,83.0,78.0,57.0,96.0,61.0,42.0,91.2,10.3,,,,,,,,,,,,,,,,,,,
16358,*0312g*,Tyler Mahle,SP,Canha Ge,27,102.32,,,,,,,,,,,,,,,,,,,,26.0,,,0.229,0.364,0.298,3.76,66.0,62.0,69.0,72.0,62.0,68.0,72.0,82.0,79.0,47.0,68.0,66.0,63.0,71.0,
14128,*02i3v*,Joey Gallo,OF,Hit,28,102.65,91.5,8.6,0.202,0.464,0.354,0.353,0.262,75.0,1.0,73.0,90.0,77.0,88.0,98.0,87.0,75.0,1.0,99.0,1.0,59.0,91.5,8.6,,,,,,,,,,,,,,,,,,,
17085,*043f9*,Pablo Lopez,SP,sfernand,25,103.31,,,,,,,,,,,,,,,,,,,,11.0,,,0.229,0.373,0.29,3.55,73.0,62.0,64.0,66.0,76.0,54.0,87.0,88.0,77.0,80.0,46.0,73.0,51.0,22.0,56.0
14120,*026l1*,Lance McCullers Jr.,SP,miche,28,103.31,,,,,,,,,,,,,,,,,,,,,,,0.209,0.315,0.285,3.42,77.0,83.0,92.0,90.0,56.0,86.0,25.0,32.0,72.0,17.0,78.0,77.0,60.0,25.0,94.0
19470,*041sq*,Tommy Edman,"2B,OF",FA,26,105.01,87.5,3.3,0.273,0.399,0.315,0.319,0.126,34.0,81.0,33.0,19.0,41.0,36.0,15.0,20.0,24.0,92.0,10.0,94.0,92.0,87.5,3.3,,,,,,,,,,,,,,,,,,,
13543,*02bqr*,Blake Snell,SP,Hit,29,108.71,,,,,,,,,,,,,,,,,,,,0.0,,,0.233,0.431,0.336,4.89,23.0,56.0,30.0,18.0,25.0,8.0,36.0,29.0,89.0,10.0,83.0,23.0,77.0,84.0,23.0
