"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Max Kepler","MIN","132","553","480","112","25","2","23","72","67","61","104","7","6","2","",".233",".325",".441",".766",".329","108","","2.0","","289.3","12144"
"César Hernández","WSN","134","582","520","135","22","3","15","70","63","53","121","5","3","1","",".260",".333",".404",".737",".320","98","","2.0","","394.0","10556"
"Yandy Díaz","TBR","112","461","399","106","18","1","11","55","50","56","75","3","2","1","",".267",".359",".401",".760",".333","116","","1.9","","406.8","16578"
"Ryan McMahon","COL","145","588","522","134","29","2","25","78","79","57","151","4","5","2","",".257",".333",".465",".798",".340","99","","1.9","","160.3","15112"
"Daulton Varsho","ARI","114","434","390","98","22","3","16","56","55","36","91","5","8","2","",".252",".322",".448",".770",".329","103","","1.9","","95.5","19918"
"Mike Yastrzemski","SFG","131","535","470","112","26","4","22","69","68","54","131","7","4","1","",".239",".324",".451",".775",".331","109","","1.9","","280.8","14854"
"Keibert Ruiz","WSN","115","449","409","109","22","1","14","50","57","30","52","5","0","0","",".267",".323",".429",".753",".323","99","","1.9","","142.7","19610"
"Tommy Pham","","121","512","439","111","21","2","15","70","53","65","113","6","14","5","",".254",".355",".411",".767",".336","111","","1.9","","266.8","2967"
"Travis d'Arnaud","ATL","110","437","395","98","18","1","15","52","51","34","101","3","1","0","",".249",".312",".416",".727",".314","93","","1.9","","219.3","7739"
"Danny Jansen","TOR","98","352","310","71","15","1","14","43","42","33","76","6","1","0","",".231",".315",".418",".733",".317","97","","1.9","","368.1","16535"
"Robbie Grossman","DET","136","574","487","118","23","3","17","72","58","76","123","6","14","4","",".243",".350",".404",".754",".330","109","","1.8","","189.4","5254"
"Marcell Ozuna","ATL","118","505","448","120","19","1","25","69","68","50","107","3","3","1","",".268",".343",".482",".825",".351","117","","1.8","","183.7","10324"
"Jorge Soler","","131","571","493","118","23","1","29","75","80","64","147","8","1","0","",".239",".334",".464",".798",".343","116","","1.8","","192.8","14221"
"Ryan Mountcastle","BAL","145","612","561","148","30","2","28","77","83","42","157","5","5","1","",".265",".320",".477",".796",".338","113","","1.8","","117.8","18373"
"Jonah Heim","TEX","85","320","293","65","14","1","9","32","34","22","64","2","1","1","",".223",".280",".369",".649",".281","77","","1.8","","461.4","16930"
"Jacob Stallings","MIA","113","423","376","90","17","0","10","43","43","38","93","4","0","0","",".240",".315",".371",".686",".301","91","","1.7","","400.2","13723"
"Ian Happ","CHC","142","564","489","117","22","2","26","73","71","65","161","5","7","2","",".240",".333",".450",".783",".337","109","","1.7","","200.9","17919"
"Brendan Rodgers","COL","127","532","489","136","30","2","18","67","69","31","110","8","2","1","",".278",".329",".460",".790",".337","97","","1.7","","164.3","17907"
"Brian Anderson","MIA","119","484","426","106","20","1","16","58","55","45","117","10","4","1","",".249",".333",".417",".749",".325","106","","1.7","","448.6","18289"
"Aaron Hicks","NYY","107","434","371","84","16","1","16","54","47","57","95","3","3","1","",".226",".331",".405",".737",".321","104","","1.7","","502.8","5297"
"C.J. Cron","COL","135","547","479","129","26","2","29","76","83","50","117","12","1","0","",".270",".352",".511",".863",".366","116","","1.7","","127.6","12546"
"Hunter Renfroe","MIL","138","555","501","121","25","1","32","72","84","45","131","5","3","1","",".242",".308",".484",".792",".335","107","","1.7","","162.1","15464"
"Paul DeJong","STL","119","471","420","98","20","1","21","58","61","39","120","8","4","1","",".234",".308",".436",".744",".319","103","","1.6","","443.5","18015"
"Oneil Cruz","PIT","117","476","435","107","22","3","14","55","53","36","132","3","9","3","",".246",".306",".407",".712",".306","91","","1.6","","213.9","21711"
"Michael Brantley","HOU","117","506","456","128","27","2","9","61","55","40","60","5","2","1","",".281",".343",".409",".752",".327","110","","1.6","","244.5","4106"
"Austin Barnes","LAD","62","220","194","45","8","1","6","27","24","21","53","4","2","1","",".230",".314",".379",".693",".303","91","","1.6","","589.5","12158"
"Kyle Lewis","SEA","122","516","457","110","20","1","20","61","62","52","142","3","4","1","",".241",".320",".420",".740",".320","107","","1.6","","324.9","19508"
"Manuel Margot","TBR","116","443","400","101","19","3","10","55","45","36","73","2","15","5","",".253",".317",".394",".711",".308","99","","1.6","","383.1","14712"
"Austin Hays","BAL","132","552","507","131","25","3","21","67","67","32","113","7","7","2","",".259",".310",".444",".754",".323","102","","1.6","","240.4","19363"
"Andrew McCutchen","","111","484","414","101","21","1","19","63","59","62","107","5","4","1","",".244",".347",".440",".787",".341","115","","1.5","","371.9","9847"
"Ryan Jeffers","MIN","71","260","233","52","10","0","11","31","32","22","82","4","0","0","",".221",".297",".408",".705",".305","92","","1.5","","488.6","24618"
"Bobby Witt Jr.","KCR","125","536","491","120","26","3","18","63","63","35","130","5","13","4","",".245",".300",".418",".718",".307","92","","1.5","","93.7","sa3011225"
"Luke Voit","NYY","120","489","429","106","17","1","24","64","64","48","134","9","0","0","",".247",".333",".461",".794",".341","117","","1.5","","256.3","14811"
"Ramón Urías","BAL","119","447","398","96","21","1","11","50","45","36","113","10","3","1","",".242",".319",".384",".703",".308","93","","1.5","","491.5","18795"
"Christian Vázquez","BOS","117","451","414","104","19","1","9","50","44","30","81","3","6","2","",".250",".304",".365",".668",".291","79","","1.5","","201.1","9774"
"Evan Longoria","SFG","109","433","389","97","20","2","15","52","53","36","94","4","2","1","",".250",".317",".430",".746",".319","102","","1.5","","401.4","9368"
"Manny Piña","ATL","74","254","227","54","10","0","10","30","31","20","57","4","1","0","",".238",".308",".420",".728",".313","92","","1.5","","551.8","2829"
"Isiah Kiner-Falefa","TEX","127","533","492","130","22","2","7","60","47","30","74","8","12","4","",".265",".316",".364",".679",".297","88","","1.5","","316.2","16512"
